,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
102,kathleen allen,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,11.02,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,Yes,,,,,,,7,GA-7,6
103,melissa davis,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,13.67,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,No,,,,,,,7,GA-7,6
104,steve reilly,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,4.1999998,No,0,1.0,0.0,0.0,0,0.0,0.0,,No,,,,,No,,,,,,,7,GA-7,6
105,dave cooper,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Lost,None,0,-60.810001,47.27,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,Yes,,,,9,GA-9,2
106,josh mccall,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Advanced,None,1,-60.810001,52.73,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,No,,,,9,GA-9,2
107,abby finkenauer,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Advanced,None,1,-1.73,66.800003,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,Yes,,Yes,,,,,,,,,,1,IA-1,4
108,courtney rowe,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,0,-1.73,7.5900002,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,,No,,,,Yes,,,,,,1,IA-1,4
109,george ramsey,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,0,-1.73,6.3699999,No,1,1.0,0.0,0.0,0,0.0,0.0,No,No,,No,,,,,,,,,,1,IA-1,4
110,thomas heckroth,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,0,-1.73,19.120001,No,0,0.0,0.0,0.0,0,0.0,1.0,No,No,,No,,,,,,,,,,1,IA-1,4
111,cindy axne,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,None,1,-4.1100001,57.799999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,,,,No,No,,,,,,,3,IA-3,3
112,eddie mauro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,0,-4.1100001,26.35,No,0,0.0,0.0,0.0,1,0.0,0.0,No,No,,,,No,No,,,,,,,3,IA-3,3
113,pete d'alessandro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,0,-4.1100001,15.58,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,Yes,Yes,,,,,,,3,IA-3,3
114,j.d. scholten,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Advanced,None,1,-25.110001,51.259998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,,Yes,,,4,IA-4,3
115,john paschen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,0,-25.110001,16.719999,No,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,No,,,,No,,,4,IA-4,3
116,leann jacobsen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,0,-25.110001,31.92,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,,,,No,,,4,IA-4,3
117,christina mcneil,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,None,1,-39.43,69.699997,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,1,ID-1,3
118,james vandermaas,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,0,-39.43,15.8,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,1,ID-1,3
119,michael smith,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,0,-39.43,14.5,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,1,ID-1,3
